Target timestamp: 02/22/2026 19:35:00
Backup folder: C:\Users\zahee\OneDrive\Desktop\zip_restore_backup_20260223_020127\pre_time_restore_20260223_032735
Changed files: 14

File	SourceRoot	SourceTime	Mode
app\src\App.tsx	zdt_realty	17-02-2026 14:04:50	before_or_equal
app\src\lib\portalData.ts	zdt_realty	13-02-2026 14:51:41	before_or_equal
app\src\lib\realtyApi.ts	zdt_realty	15-02-2026 22:27:30	before_or_equal
app\src\sections\AdminInfraInboxPage.tsx	zip_restore_backup_20260223_020127	22-02-2026 10:27:22	before_or_equal
app\src\sections\AdminInfraSubscribersPage.tsx	zip_restore_backup_20260223_020127	22-02-2026 09:34:33	before_or_equal
app\src\sections\buy\BuyPropertyDetailsPage.tsx	zdt_realty	20-02-2026 23:56:12	before_or_equal
app\src\sections\dealers\CompanyProfilePage.tsx	zdt_realty	15-02-2026 22:31:07	before_or_equal
app\src\sections\dealers\ProjectDetailsPage.tsx	zdt_realty	15-02-2026 15:02:50	before_or_equal
app\src\sections\Header.tsx	zdt_realty	16-02-2026 00:15:19	before_or_equal
app\src\sections\Login.tsx	zdt_realty	17-02-2026 14:02:47	before_or_equal
app\src\sections\portal\MarketplaceListingsPage.tsx	zdt_realty	16-02-2026 02:38:39	before_or_equal
app\src\sections\portal\PropertyListingCard.tsx	zdt_realty	17-02-2026 12:54:39	before_or_equal
server\src\db.js	zdt_realty	17-02-2026 13:54:57	before_or_equal
server\src\routes\realty.js	zdt_realty	15-02-2026 22:31:23	before_or_equal
